,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine
180,karur,297.17,1001.22,69.02,1.91,0.02,39.13,108.23
181,thoothukudi,298.12,1002.8,73.5,2.68,0.05,41.18,89.15
182,pudukottai,298.39,1012.25,74.34,3.44,0.02,40.92,38.69
183,ariyalur,299.01,1014.56,76.84,2.97,0.01,32.5,29.54
184,salem,296.87,1001.93,69.89,2.1,0.03,36.71,104.69
185,madurai,298.39,1007.58,70.56,2.53,0.02,38.32,41.62
186,ramanathapuram,298.39,1007.58,70.56,2.53,0.02,38.32,41.62
187,virudhunagar,298.39,1007.58,70.56,2.53,0.02,38.32,41.62
188,hosur,294.56,1003.55,70.44,2.72,0.02,38.93,85.46
189,chengalpattu,298.13,1013.28,75.07,2.9,0.01,37.32,44.31
190,kolkata,291.82,1014.81,72.64,2.16,0.01,20.43,188.77
191,haldia,293.1,1019.97,61.19,2.57,0.01,18.83,220.54
192,durgapur,291.09,1017.39,63.83,2.32,0.01,15.4,197.46
193,siliguri,288.98,976.05,64.14,1.55,0.03,28.36,170.77
194,asansol,292.04,1013.82,60.61,2.44,0.05,21.89,186.69
195,howrah,291.8,1015.7,72.85,2.16,0.01,20.53,188.92
196,barrackpore,291.87,1014.81,72.11,2.16,0.01,18.48,190.23
197,agra,287.48,1013.13,69.28,2.23,0.01,15.15,229.46
198,prayagraj,288.67,1015.41,69.52,2.13,0.02,21.61,203.62
199,meerut,286.49,1009.86,69.33,2.6,0.03,20.57,208.54
200,jhansi,288.38,1004.63,64.21,2.03,0.02,13.98,237.15
201,greater_noida,286.65,1014.53,69.48,2.4,0.01,23.29,173.92
202,kanpur,287.51,1015.58,72.16,2.1,0.03,29.72,170.08
203,bulandshahr,286.66,1010.83,71.45,2.52,0.02,18.76,212.92
204,lucknow,286.76,1016.24,81.8,1.81,0.01,37.76,130.08
205,firozabad,287.37,1013.99,68.66,2.3,0.02,15.34,228.23
206,moradabad,286.77,1010.98,71.58,2.48,0.03,22.1,185.85
207,hapur,286.62,1014.62,71.19,2.56,0.01,23.47,172.92
208,vrindavan,286.97,1011.9,68.85,2.26,0.02,16.73,221.92
209,ghaziabad,286.22,1015.41,70.98,2.4,0.01,26.44,154.54
210,bareilly,287.04,1012.18,71.66,2.5,0.02,19.58,189.15
211,noida,286.24,1016.25,70.26,2.35,0.02,26.15,152.46
212,varanasi,287.77,1016.65,80.49,1.96,0.02,29.65,144.15
213,muzaffarnagar,286.03,1008.14,71.06,2.54,0.03,22.57,203.38
214,gorakhpur,288.09,1017.35,70.98,2.46,0.02,15.84,211.0
215,khurja,286.7,1011.63,71.0,2.5,0.02,18.24,214.69
216,baghpat,286.49,1013.31,70.3,2.45,0.01,23.98,174.31
217,puducherry,298.47,1017.89,82.61,4.3,0.03,39.96,89.92
218,rajgir,288.34,1016.78,72.38,2.13,0.07,27.05,159.85
219,araria,289.85,1019.54,66.77,2.58,0.21,19.9,215.77
220,bettiah,288.7,1016.61,67.12,2.23,0.08,21.01,197.62
221,begusarai,288.56,1017.53,68.37,2.32,0.08,18.82,198.15
222,katihar,289.85,1018.81,66.26,2.59,0.22,19.64,215.15
223,saharsa,289.15,1019.41,67.93,2.59,0.22,20.31,198.0
224,samastipur,289.27,1018.25,66.2,2.55,0.21,20.71,188.85
225,motihari,289.0,1018.51,67.51,2.31,0.08,20.75,193.38
226,muzaffarpur,288.28,1016.9,71.95,2.31,0.82,26.76,153.62
227,bhagalpur,289.06,1018.95,66.67,2.51,0.07,20.21,218.85
228,buxar,288.4,1017.99,71.29,2.28,0.04,19.05,192.38
229,darbhanga,289.27,1018.25,66.2,2.55,0.21,20.71,188.85
230,sasaram,288.08,1011.9,66.76,1.89,0.09,21.57,196.54
231,bihar_sharif,288.34,1016.78,72.38,2.13,0.07,27.05,159.85
232,purnia,289.85,1019.54,66.77,2.58,0.21,19.9,215.77
233,patna,287.93,1017.06,81.31,1.89,0.16,32.26,118.62
234,arrah,288.05,1016.37,72.82,2.17,0.21,26.04,155.92
235,hajipur,287.92,1016.5,81.16,1.9,0.15,31.71,120.0
236,siwan,288.56,1018.2,69.33,2.43,0.08,20.64,198.0
237,chhapra,288.05,1016.37,72.82,2.17,0.21,26.04,155.92
238,kishanganj,290.23,1019.4,65.29,2.34,0.21,19.8,214.38
239,munger,288.68,1017.91,68.1,2.35,0.07,18.96,200.46
240,gaya,288.41,1013.66,71.86,2.14,0.07,28.0,156.46
241,dhanbad,290.4,1006.76,58.06,2.33,0.02,17.45,217.15
242,jorapokhar,290.4,1006.76,58.06,2.33,0.02,17.45,217.15
243,pathardih,290.4,1006.76,58.06,2.33,0.02,17.45,217.15
244,kohima,288.71,997.9,76.66,1.03,0.02,25.51,169.77
